Datetime,Open Time,Open,High,Low,Close,Volume,Close Time,Quote asset volume,Number of Trades,Taker Volume,Maker Volume,Nothing,Date
2024-06-24 04:05:00,1719201900000,126.16,126.16,125.54,125.72,50683.60900000,1719202199999,6378123.63474000,6119,14656.27200000,1844060.74170000,0,1719201900000
2024-06-24 04:10:00,1719202200000,125.71,125.92,125.61,125.73,13862.67500000,1719202499999,1743461.00480000,2259,5482.90600000,689544.33177000,0,1719202200000
2024-06-24 04:15:00,1719202500000,125.76,126.21,125.58,125.62,30470.91100000,1719202799999,3837152.85194000,3551,14242.66300000,1793145.80029000,0,1719202500000
2024-06-24 04:20:00,1719202800000,125.61,125.99,125.42,125.96,25191.34000000,1719203099999,3163572.04088000,6155,13027.08200000,1636397.17849000,0,1719202800000
2024-06-24 04:25:00,1719203100000,125.96,126.14,125.96,126.06,6611.11700000,1719203399999,833292.23249000,1384,3702.80300000,466712.64045000,0,1719203100000
2024-06-24 04:30:00,1719203400000,126.06,126.67,126.0,126.6,14010.28900000,1719203699999,1771059.87109000,2279,8540.76400000,1079884.94875000,0,1719203400000
2024-06-24 04:35:00,1719203700000,126.61,126.69,126.31,126.51,19410.38300000,1719203999999,2456074.10206000,2662,12665.40900000,1602543.91319000,0,1719203700000
2024-06-24 04:40:00,1719204000000,126.51,126.69,126.46,126.49,5044.11400000,1719204299999,638518.02039000,1163,2894.19000000,366365.29657000,0,1719204000000
2024-06-24 04:45:00,1719204300000,126.49,126.56,126.33,126.48,7243.71100000,1719204599999,916071.08783000,1300,2288.28600000,289369.58372000,0,1719204300000
2024-06-24 04:50:00,1719204600000,126.49,126.49,126.19,126.33,5994.24200000,1719204899999,757149.10884000,1340,2210.46500000,279236.83249000,0,1719204600000
2024-06-24 04:55:00,1719204900000,126.33,126.39,126.03,126.09,9773.73300000,1719205199999,1233072.99003000,1668,4197.31200000,529501.00914000,0,1719204900000
2024-06-24 05:00:00,1719205200000,126.08,126.31,125.74,125.88,11909.02500000,1719205499999,1501386.08645000,2185,6288.22800000,792681.58540000,0,1719205200000
2024-06-24 05:05:00,1719205500000,125.88,126.04,125.44,125.61,16772.49500000,1719205799999,2107693.12851000,5630,7756.85200000,974975.22887000,0,1719205500000
2024-06-24 05:10:00,1719205800000,125.61,125.65,125.1,125.19,25489.51400000,1719206099999,3195064.14973000,4544,8197.89200000,1027484.69705000,0,1719205800000
2024-06-24 05:15:00,1719206100000,125.19,125.26,124.5,124.8,58635.68100000,1719206399999,7324777.41477000,8622,14076.79800000,1757244.11241000,0,1719206100000
2024-06-24 05:20:00,1719206400000,124.79,125.21,124.21,124.46,45649.05100000,1719206699999,5696410.88239000,6068,22251.71400000,2777198.19998000,0,1719206400000
2024-06-24 05:25:00,1719206700000,124.45,125.03,124.02,124.8,25672.46800000,1719206999999,3194340.34680000,4220,10734.75600000,1336283.47448000,0,1719206700000
2024-06-24 05:30:00,1719207000000,124.8,124.9,124.08,124.4,46811.94100000,1719207299999,5830246.84275000,6082,24772.33500000,3085270.17513000,0,1719207000000
2024-06-24 05:35:00,1719207300000,124.41,124.54,123.8,124.05,72348.18400000,1719207599999,8974999.00876000,7633,21981.48900000,2726760.57894000,0,1719207300000
2024-06-24 05:40:00,1719207600000,124.06,124.46,123.21,123.5,35785.34600000,1719207899999,4429158.09142000,7754,14030.98200000,1737435.76047000,0,1719207600000
2024-06-24 05:45:00,1719207900000,123.5,124.22,123.48,123.78,22646.95600000,1719208199999,2806258.46819000,4888,12243.08600000,1517200.07683000,0,1719207900000
2024-06-24 05:50:00,1719208200000,123.76,124.28,123.74,124.17,13924.19900000,1719208499999,1727514.45523000,3576,7074.03700000,877590.18485000,0,1719208200000
2024-06-24 05:55:00,1719208500000,124.16,124.18,123.87,123.93,26229.08300000,1719208799999,3252928.46256000,3551,13175.78800000,1633921.52035000,0,1719208500000
2024-06-24 06:00:00,1719208800000,123.92,124.57,123.84,124.46,19460.64700000,1719209099999,2419238.17487000,3823,10644.89300000,1323402.86750000,0,1719208800000
2024-06-24 06:05:00,1719209100000,124.46,124.94,124.37,124.37,19028.40500000,1719209399999,2372486.72493000,4065,9907.61000000,1235419.61320000,0,1719209100000
2024-06-24 06:10:00,1719209400000,124.37,125.0,124.37,124.76,10120.64900000,1719209699999,1262640.87226000,3016,5909.35400000,737257.91023000,0,1719209400000
2024-06-24 06:15:00,1719209700000,124.76,124.83,124.23,124.61,21010.15500000,1719209999999,2616923.23046000,4220,8848.18000000,1102206.46657000,0,1719209700000
2024-06-24 06:20:00,1719210000000,124.62,124.99,124.59,124.73,7807.31200000,1719210299999,974547.55926000,2325,4988.52400000,622708.36028000,0,1719210000000
2024-06-24 06:25:00,1719210300000,124.74,124.88,124.57,124.77,6772.05500000,1719210599999,844661.12745000,1938,3711.14800000,462857.22466000,0,1719210300000
2024-06-24 06:30:00,1719210600000,124.78,124.91,124.58,124.84,7586.81000000,1719210899999,946539.09083000,2148,4037.04900000,503643.96846000,0,1719210600000
2024-06-24 06:35:00,1719210900000,124.84,125.11,124.82,125.04,16679.16300000,1719211199999,2084873.15637000,2734,12325.51000000,1540751.10304000,0,1719210900000
2024-06-24 06:40:00,1719211200000,125.03,125.09,124.58,124.69,19514.59700000,1719211499999,2436107.02416000,3720,9520.51800000,1188552.50376000,0,1719211200000
2024-06-24 06:45:00,1719211500000,124.68,124.78,124.43,124.54,6373.78700000,1719211799999,793986.79007000,1872,2649.82300000,330085.69784000,0,1719211500000
2024-06-24 06:50:00,1719211800000,124.53,124.84,124.48,124.64,6812.48500000,1719212099999,849348.08338000,1987,3852.15300000,480284.92659000,0,1719211800000
2024-06-24 06:55:00,1719212100000,124.65,125.0,124.55,124.98,15018.47700000,1719212399999,1875280.00994000,2170,11153.73100000,1393027.36203000,0,1719212100000
2024-06-24 07:00:00,1719212400000,124.98,124.98,124.71,124.74,12033.98400000,1719212699999,1502011.36980000,3013,5343.66800000,666946.03344000,0,1719212400000
2024-06-24 07:05:00,1719212700000,124.75,124.86,124.7,124.8,8397.04800000,1719212999999,1047750.55208000,2324,3751.27500000,468049.38901000,0,1719212700000
2024-06-24 07:10:00,1719213000000,124.8,124.91,124.73,124.78,8522.86300000,1719213299999,1063655.34233000,1860,3204.87700000,399940.53342000,0,1719213000000
2024-06-24 07:15:00,1719213300000,124.78,124.78,124.51,124.76,8146.71200000,1719213599999,1015438.62114000,1992,3351.67800000,417760.06152000,0,1719213300000
2024-06-24 07:20:00,1719213600000,124.75,125.18,124.56,125.05,33618.28300000,1719213899999,4198154.75626000,4797,22361.03100000,2792217.12423000,0,1719213600000
2024-06-24 07:25:00,1719213900000,125.04,125.04,124.38,124.62,34633.31000000,1719214199999,4318178.85674000,5228,8778.08200000,1094178.71013000,0,1719213900000
2024-06-24 07:30:00,1719214200000,124.62,125.12,124.47,125.11,12544.92000000,1719214499999,1567052.19708000,2320,7189.90300000,898142.72948000,0,1719214200000
2024-06-24 07:35:00,1719214500000,125.1,125.5,125.01,125.48,22923.72200000,1719214799999,2872665.52037000,3813,16639.60400000,2084922.81775000,0,1719214500000
2024-06-24 07:40:00,1719214800000,125.48,125.52,125.23,125.4,16703.12000000,1719215099999,2094677.75942000,3361,8333.40500000,1045082.49485000,0,1719214800000
2024-06-24 07:45:00,1719215100000,125.4,125.83,125.29,125.74,29281.79500000,1719215399999,3678328.89180000,4425,17433.06900000,2189539.84224000,0,1719215100000
2024-06-24 07:50:00,1719215400000,125.74,125.74,125.24,125.28,19830.47300000,1719215699999,2488644.58635000,4229,7870.08800000,987681.23523000,0,1719215400000
2024-06-24 07:55:00,1719215700000,125.28,125.3,124.97,125.2,11184.23100000,1719215999999,1399251.15507000,2110,4411.58600000,551964.27107000,0,1719215700000
2024-06-24 08:00:00,1719216000000,125.21,125.36,125.02,125.31,8114.95600000,1719216299999,1015915.20941000,2239,4704.64000000,588979.22794000,0,1719216000000
2024-06-24 08:05:00,1719216300000,125.31,125.39,124.93,124.97,13634.48100000,1719216599999,1706762.26185000,2810,7768.49100000,972594.02508000,0,1719216300000
2024-06-24 08:10:00,1719216600000,124.98,125.06,124.62,124.93,8515.66500000,1719216899999,1062792.07827000,2520,3570.34900000,445550.53789000,0,1719216600000
2024-06-24 08:15:00,1719216900000,124.93,125.07,124.71,124.86,6892.68900000,1719217199999,860708.97777000,2083,3565.66500000,445215.30082000,0,1719216900000
